url,locode,name,subdiv,iso2
https://service.unece.org/trade/locode/al.htm,ALNPP,Elbasan,EL,al
https://service.unece.org/trade/locode/al.htm,ALFIE,Fier,,al
https://service.unece.org/trade/locode/al.htm,ALFUS,Fushe Arrez,SH,al
https://service.unece.org/trade/locode/al.htm,ALGOK,GjirokastÃ«r,GJ,al
https://service.unece.org/trade/locode/al.htm,ALHMR,Himare,SR,al
https://service.unece.org/trade/locode/al.htm,ALKRC,KorÃ§Ã«,KO,al
https://service.unece.org/trade/locode/al.htm,ALKKU,KukÃ«s,KU,al
https://service.unece.org/trade/locode/al.htm,ALLZE,Lezhe,LE,al
https://service.unece.org/trade/locode/al.htm,ALLUS,LushnjÃ«,LU,al
https://service.unece.org/trade/locode/al.htm,ALMBR,Mbreshtan,01,al
https://service.unece.org/trade/locode/al.htm,ALMIL,Milot,08,al
https://service.unece.org/trade/locode/al.htm,ALROM,Romano Port,02,al
https://service.unece.org/trade/locode/al.htm,ALSAR,SarandÃ«,SR,al
https://service.unece.org/trade/locode/al.htm,ALSHG,ShÃ«ngjin,LE,al
https://service.unece.org/trade/locode/al.htm,ALSHK,Shkoder,,al
https://service.unece.org/trade/locode/al.htm,ALSHZ,Shkozet,KA,al
https://service.unece.org/trade/locode/al.htm,ALTEN,Tenes,,al
https://service.unece.org/trade/locode/al.htm,ALTIA,Tirana,,al
https://service.unece.org/trade/locode/al.htm,ALVOA,VlorÃ«,VL,al
https://service.unece.org/trade/locode/al.htm,ALVOR,Vore,TR,al
https://service.unece.org/trade/locode/am.htm,AMABO,Abovyan,,am
https://service.unece.org/trade/locode/am.htm,AMAHU,Akhuryan,,am
https://service.unece.org/trade/locode/am.htm,AMA3A,Aparan,AG,am
https://service.unece.org/trade/locode/am.htm,AMARG,Aragatsotn,,am
https://service.unece.org/trade/locode/am.htm,AMARA,Ararat,,am
https://service.unece.org/trade/locode/am.htm,AMARV,Armavir,,am
https://service.unece.org/trade/locode/am.htm,AMASH,Ashtarak,ER,am
https://service.unece.org/trade/locode/am.htm,AMBRD,Berd,,am
https://service.unece.org/trade/locode/am.htm,AMBYU,Byureghavan,KT,am
https://service.unece.org/trade/locode/am.htm,AMDIL,Dilijan,,am
https://service.unece.org/trade/locode/am.htm,AMEZN,Ecmiadzin,,am
https://service.unece.org/trade/locode/am.htm,AMGRS,Goris,,am
https://service.unece.org/trade/locode/am.htm,AMLWN,Gyumri,,am
https://service.unece.org/trade/locode/am.htm,AMHRA,Hrazdan,KT,am
https://service.unece.org/trade/locode/am.htm,AMJER,Jermuk,VD,am
https://service.unece.org/trade/locode/am.htm,AMKJN,Kajaran,,am
https://service.unece.org/trade/locode/am.htm,AMKPN,Kapan,SU,am
https://service.unece.org/trade/locode/am.htm,AMARM,Masis,AR,am
https://service.unece.org/trade/locode/am.htm,AMMMA,Mets Masrik,GR,am
https://service.unece.org/trade/locode/am.htm,AMMTR,Metsamor,ER,am
https://service.unece.org/trade/locode/am.htm,AMRN4,Rind,VD,am
https://service.unece.org/trade/locode/am.htm,AMSPI,Spitak,LO,am
https://service.unece.org/trade/locode/am.htm,AMVZR,Vanadzor,,am
https://service.unece.org/trade/locode/am.htm,AMVED,Vedi,AR,am
https://service.unece.org/trade/locode/am.htm,AMEVN,Yerevan,ER,am
https://service.unece.org/trade/locode/ao.htm,AOAZZ,Ambriz,,ao
https://service.unece.org/trade/locode/ao.htm,AOANL,Andulo,,ao
https://service.unece.org/trade/locode/ao.htm,AOARO,Armada Olombendo FPSO,ZAI,ao
https://service.unece.org/trade/locode/ao.htm,AOBAB,Baba,,ao
https://service.unece.org/trade/locode/ao.htm,AOBDT,BaÃ­a dos Tigres,,ao
https://service.unece.org/trade/locode/ao.htm,AOBDD,Barra do Dande,,ao
https://service.unece.org/trade/locode/ao.htm,AOBEL,Belas,LUA,ao
https://service.unece.org/trade/locode/ao.htm,AOBUG,Benguela,,ao
https://service.unece.org/trade/locode/ao.htm,AOCAB,Cabinda,,ao
https://service.unece.org/trade/locode/ao.htm,AOCFF,Cafunfo,,ao
https://service.unece.org/trade/locode/ao.htm,AOCNZ,Cangamba,,ao
https://service.unece.org/trade/locode/ao.htm,AOKNP,Capanda,,ao
https://service.unece.org/trade/locode/ao.htm,AOCPO,Capulo,,ao
https://service.unece.org/trade/locode/ao.htm,AOCBT,Catumbela,,ao
https://service.unece.org/trade/locode/ao.htm,AOCAV,Cazombo,,ao
https://service.unece.org/trade/locode/ao.htm,AOPGI,Chitato,,ao
https://service.unece.org/trade/locode/ao.htm,AOCLV,CLOV FPSO,,ao
https://service.unece.org/trade/locode/ao.htm,AOCUI,Cuio,,ao
https://service.unece.org/trade/locode/ao.htm,AOCTI,Cuito Cuanavale,,ao
https://service.unece.org/trade/locode/ao.htm,AODAL,Dalia,,ao
https://service.unece.org/trade/locode/ao.htm,AODRC,Dirico,,ao
https://service.unece.org/trade/locode/ao.htm,AODGR,Dombe Grande,,ao
https://service.unece.org/trade/locode/ao.htm,AODUE,Dundo,,ao
https://service.unece.org/trade/locode/ao.htm,AOETN,Essungo Terminal,,ao
https://service.unece.org/trade/locode/ao.htm,AOFBY,Farta Bay,,ao
https://service.unece.org/trade/locode/ao.htm,AOFLT,Futila Terminal,,ao
https://service.unece.org/trade/locode/ao.htm,AOGIM,Gimboa,,ao
https://service.unece.org/trade/locode/ao.htm,AOGIR,Girassol Terminal,,ao
https://service.unece.org/trade/locode/ao.htm,AOGPO,Greater Plutonio,,ao
https://service.unece.org/trade/locode/ao.htm,AONOV,Huambo,,ao
https://service.unece.org/trade/locode/ao.htm,AOJMB,Jamba,,ao
https://service.unece.org/trade/locode/ao.htm,AOKTI,Kiame Terminal,,ao
https://service.unece.org/trade/locode/ao.htm,AOSVP,Kuito,,ao
https://service.unece.org/trade/locode/ao.htm,AOKOT,Kuito Terminal,,ao
