url,locode,name,subdiv,iso2,country_id
https://service.unece.org/trade/locode/ao.htm,AOBDT,BaÃ­a dos Tigres,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOBDD,Barra do Dande,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOBEL,Belas,LUA,AO,7
https://service.unece.org/trade/locode/ao.htm,AOBUG,Benguela,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOCAB,Cabinda,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOCFF,Cafunfo,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOCNZ,Cangamba,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOKNP,Capanda,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOCPO,Capulo,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOCBT,Catumbela,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOCAV,Cazombo,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOPGI,Chitato,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOCLV,CLOV FPSO,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOCUI,Cuio,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOCTI,Cuito Cuanavale,,AO,7
https://service.unece.org/trade/locode/ao.htm,AODAL,Dalia,,AO,7
https://service.unece.org/trade/locode/ao.htm,AODRC,Dirico,,AO,7
https://service.unece.org/trade/locode/ao.htm,AODGR,Dombe Grande,,AO,7
https://service.unece.org/trade/locode/ao.htm,AODUE,Dundo,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOETN,Essungo Terminal,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOFBY,Farta Bay,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOFLT,Futila Terminal,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOGIM,Gimboa,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOGIR,Girassol Terminal,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOGPO,Greater Plutonio,,AO,7
https://service.unece.org/trade/locode/ao.htm,AONOV,Huambo,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOJMB,Jamba,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOKTI,Kiame Terminal,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOSVP,Kuito,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOKOT,Kuito Terminal,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOLAA,Landana (Cacongo),,AO,7
https://service.unece.org/trade/locode/ao.htm,AOLIE,Lieura,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOLOB,Lobito,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOLBT,Lombo Terminal,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOLAD,Luanda,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOUAL,Luau,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOSDD,Lubango,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOLUC,Lucira,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOLUO,Luena,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOLBZ,Lukapa,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOGGC,Lumbala,,AO,7
